;"anaxupdate";"artemisupdate";"entityx1update";"entityx2update";"enttupdate";"ginsengupdate"
"10";0.000s;0.000s;0.000s;0.000s;0.000s;0.000s
"25";0.000s;0.000s;0.000s;0.000s;0.000s;0.000s
"50";0.000s;0.000s;0.000s;0.000s;0.000s;0.000s
"100";0.000s;0.000s;0.000s;0.000s;0.000s;0.000s
"200";0.000s;0.000s;0.000s;0.000s;0.000s;0.000s
"400";0.000s;0.000s;0.000s;0.000s;0.000s;0.000s
"800";0.000s;0.000s;0.000s;0.000s;0.000s;0.000s
"1600";0.000s;0.000s;0.000s;0.000s;0.000s;0.000s
"3200";0.000s;0.000s;0.000s;0.000s;0.000s;0.000s
"5000";0.000s;0.000s;0.000s;0.000s;0.000s;0.000s
"10000";0.000s;0.001s;0.000s;0.000s;0.000s;0.000s
"30000";0.001s;0.002s;0.001s;0.000s;0.000s;0.000s
"100000";0.008s;0.023s;0.003s;0.001s;0.000s;0.001s
"500000";0.051s;38.903s;0.018s;0.009s;0.003s;0.004s
"1000000";0.114s;82.175s;0.038s;0.017s;0.007s;0.007s
"2000000";0.267s;"N/A";0.078s;0.035s;0.014s;0.015s
"5000000";"N/A";"N/A";0.214s;0.091s;0.035s;0.038s
"10000000";"N/A";"N/A";0.438s;0.187s;0.086s;0.079s
"20000000";"N/A";"N/A";1.250s;0.397s;0.171s;0.165s
